_id,day,first_time,last_time,nsamples,samples,variable
62c2f7e656ebca966f9f2b69,Mon Jul 04 2022,1656944612232,1656945515413,4,"[{""value"":2,""time"":1656944612232},{""value"":2,""time"":1656944764486},{""value"":2,""time"":1656945151107},{""value"":2,""time"":1656945515413}]",OperationMode
62c2f7e656ebca966f9f2b6c,Mon Jul 04 2022,1656944612232,1656945515413,4,"[{""value"":0,""time"":1656944612232},{""value"":0,""time"":1656944764486},{""value"":0,""time"":1656945151107},{""value"":0,""time"":1656945515413}]",Alarm
62c2f7e656ebca966f9f2b6d,Mon Jul 04 2022,1656944612232,1656945614404,34,"[{""value"":6,""time"":1656944612232},{""value"":5,""time"":1656944622254},{""value"":6,""time"":1656944632236},{""value"":5,""time"":1656944722484},{""value"":6,""time"":1656944732734},{""value"":6,""time"":1656944764486},{""value"":5,""time"":1656944854486},{""value"":6,""time"":1656944864489},{""value"":5,""time"":1656944955038},{""value"":6,""time"":1656944964713},{""value"":5,""time"":1656944984800},{""value"":6,""time"":1656944994858},{""value"":5,""time"":1656945085227},{""value"":6,""time"":1656945095279},{""value"":5,""time"":1656945151107},{""value"":6,""time"":1656945161034},{""value"":5,""time"":1656945251118},{""value"":6,""time"":1656945261119},{""value"":5,""time"":1656945281288},{""value"":6,""time"":1656945291356},{""value"":5,""time"":1656945351526},{""value"":6,""time"":1656945361532},{""value"":5,""time"":1656945381564},{""value"":6,""time"":1656945391576},{""value"":5,""time"":1656945451679},{""value"":6,""time"":1656945461757},{""value"":5,""time"":1656945481757},{""value"":6,""time"":1656945491798},{""value"":5,""time"":1656945515413},{""value"":6,""time"":1656945525371},{""value"":5,""time"":1656945574339},{""value"":6,""time"":1656945584187},{""value"":5,""time"":1656945604192},{""value"":6,""time"":1656945614404}]",OperationState
62c2f7fa56ebca966f9f2b7c,Mon Jul 04 2022,1656944631240,1656945653746,32,"[{""value"":0,""time"":1656944631240},{""value"":0,""time"":1656944661414},{""value"":0,""time"":1656944692206},{""value"":0,""time"":1656944721852},{""value"":0,""time"":1656944793969},{""value"":0,""time"":1656944824411},{""value"":0,""time"":1656944854340},{""value"":0,""time"":1656944884147},{""value"":0,""time"":1656944914248},{""value"":0,""time"":1656944944095},{""value"":0,""time"":1656944974315},{""value"":0,""time"":1656945003993},{""value"":0,""time"":1656945034356},{""value"":0,""time"":1656945064228},{""value"":0,""time"":1656945094341},{""value"":0,""time"":1656945124108},{""value"":0,""time"":1656945180508},{""value"":0,""time"":1656945210890},{""value"":0,""time"":1656945241012},{""value"":0,""time"":1656945270541},{""value"":0,""time"":1656945300413},{""value"":0,""time"":1656945331045},{""value"":0,""time"":1656945360417},{""value"":0,""time"":1656945390602},{""value"":0,""time"":1656945420453},{""value"":0,""time"":1656945451415},{""value"":0,""time"":1656945480724},{""value"":0,""time"":1656945544937},{""value"":0,""time"":1656945564004},{""value"":0,""time"":1656945593597},{""value"":0,""time"":1656945623610},{""value"":0,""time"":1656945653746}]",MainMotorSpeed
62c2f7fa56ebca966f9f2b7e,Mon Jul 04 2022,1656944631240,1656945653746,32,"[{""value"":0,""time"":1656944631240},{""value"":0,""time"":1656944661414},{""value"":0,""time"":1656944692206},{""value"":0,""time"":1656944721852},{""value"":0,""time"":1656944793969},{""value"":0,""time"":1656944824411},{""value"":0,""time"":1656944854340},{""value"":0,""time"":1656944884147},{""value"":0,""time"":1656944914248},{""value"":0,""time"":1656944944095},{""value"":0,""time"":1656944974315},{""value"":0,""time"":1656945003993},{""value"":0,""time"":1656945034356},{""value"":0,""time"":1656945064228},{""value"":0,""time"":1656945094341},{""value"":0,""time"":1656945124108},{""value"":0,""time"":1656945180508},{""value"":0,""time"":1656945210890},{""value"":0,""time"":1656945241012},{""value"":0,""time"":1656945270541},{""value"":0,""time"":1656945300413},{""value"":0,""time"":1656945331045},{""value"":0,""time"":1656945360417},{""value"":0,""time"":1656945390602},{""value"":0,""time"":1656945420453},{""value"":0,""time"":1656945451415},{""value"":0,""time"":1656945480724},{""value"":0,""time"":1656945544937},{""value"":0,""time"":1656945564004},{""value"":0,""time"":1656945593597},{""value"":0,""time"":1656945623610},{""value"":0,""time"":1656945653746}]",MainMotorCurrent
62c2f7fa56ebca966f9f2b80,Mon Jul 04 2022,1656944631240,1656945653746,32,"[{""value"":0,""time"":1656944631240},{""value"":0,""time"":1656944661414},{""value"":0,""time"":1656944692206},{""value"":0,""time"":1656944721852},{""value"":0,""time"":1656944793969},{""value"":0,""time"":1656944824411},{""value"":0,""time"":1656944854340},{""value"":0,""time"":1656944884147},{""value"":0,""time"":1656944914248},{""value"":0,""time"":1656944944095},{""value"":0,""time"":1656944974315},{""value"":0,""time"":1656945003993},{""value"":0,""time"":1656945034356},{""value"":0,""time"":1656945064228},{""value"":0,""time"":1656945094341},{""value"":0,""time"":1656945124108},{""value"":0,""time"":1656945180508},{""value"":0,""time"":1656945210890},{""value"":0,""time"":1656945241012},{""value"":0,""time"":1656945270541},{""value"":0,""time"":1656945300413},{""value"":0,""time"":1656945331045},{""value"":0,""time"":1656945360417},{""value"":0,""time"":1656945390602},{""value"":0,""time"":1656945420453},{""value"":0,""time"":1656945451415},{""value"":0,""time"":1656945480724},{""value"":0,""time"":1656945544937},{""value"":0,""time"":1656945564004},{""value"":0,""time"":1656945593597},{""value"":0,""time"":1656945623610},{""value"":0,""time"":1656945653746}]",HeadMotorSpeed
62c2f7fa56ebca966f9f2b82,Mon Jul 04 2022,1656944631240,1656945653746,32,"[{""value"":0,""time"":1656944631240},{""value"":0,""time"":1656944661414},{""value"":0,""time"":1656944692206},{""value"":0,""time"":1656944721852},{""value"":0,""time"":1656944793969},{""value"":0,""time"":1656944824411},{""value"":0,""time"":1656944854340},{""value"":0,""time"":1656944884147},{""value"":0,""time"":1656944914248},{""value"":0,""time"":1656944944095},{""value"":0,""time"":1656944974315},{""value"":0,""time"":1656945003993},{""value"":0,""time"":1656945034356},{""value"":0,""time"":1656945064228},{""value"":0,""time"":1656945094341},{""value"":0,""time"":1656945124108},{""value"":0,""time"":1656945180508},{""value"":0,""time"":1656945210890},{""value"":0,""time"":1656945241012},{""value"":0,""time"":1656945270541},{""value"":0,""time"":1656945300413},{""value"":0,""time"":1656945331045},{""value"":0,""time"":1656945360417},{""value"":0,""time"":1656945390602},{""value"":0,""time"":1656945420453},{""value"":0,""time"":1656945451415},{""value"":0,""time"":1656945480724},{""value"":0,""time"":1656945544937},{""value"":0,""time"":1656945564004},{""value"":0,""time"":1656945593597},{""value"":0,""time"":1656945623610},{""value"":0,""time"":1656945653746}]",HeadMotorCurrent
62c2f81856ebca966f9f2bb1,Mon Jul 04 2022,1656944652248,1656945614472,15,"[{""value"":34213.8,""time"":1656944652248},{""value"":34738.82,""time"":1656944712493},{""value"":38461.67,""time"":1656944814442},{""value"":34578.5,""time"":1656944874487},{""value"":35879.34,""time"":1656944934602},{""value"":34690.26,""time"":1656944994862},{""value"":34922.24,""time"":1656945055053},{""value"":34793.49,""time"":1656945115344},{""value"":34158.17,""time"":1656945201073},{""value"":33316.5,""time"":1656945261122},{""value"":34682.84,""time"":1656945321614},{""value"":34112.59,""time"":1656945381567},{""value"":34993.97,""time"":1656945441744},{""value"":35929,""time"":1656945554102},{""value"":33859.75,""time"":1656945614472}]",ProdSpeed
62c2f81856ebca966f9f2bb3,Mon Jul 04 2022,1656944652248,1656945614472,15,"[{""value"":380.36,""time"":1656944652248},{""value"":380.43,""time"":1656944712493},{""value"":380.77,""time"":1656944814442},{""value"":380.81,""time"":1656944874487},{""value"":380.72,""time"":1656944934602},{""value"":380.85,""time"":1656944994862},{""value"":380.82,""time"":1656945055053},{""value"":380.76,""time"":1656945115344},{""value"":381.28,""time"":1656945201073},{""value"":381.2,""time"":1656945261122},{""value"":381.04,""time"":1656945321614},{""value"":380.98,""time"":1656945381567},{""value"":380.97,""time"":1656945441744},{""value"":383.33,""time"":1656945554102},{""value"":383.48,""time"":1656945614472}]",PowerVoltage
62c2f81856ebca966f9f2bb5,Mon Jul 04 2022,1656944652248,1656945614472,15,"[{""value"":9.11,""time"":1656944652248},{""value"":9.23,""time"":1656944712493},{""value"":10.17,""time"":1656944814442},{""value"":9.2,""time"":1656944874487},{""value"":9.53,""time"":1656944934602},{""value"":9.23,""time"":1656944994862},{""value"":9.29,""time"":1656945055053},{""value"":9.27,""time"":1656945115344},{""value"":9.11,""time"":1656945201073},{""value"":8.89,""time"":1656945261122},{""value"":9.23,""time"":1656945321614},{""value"":9.08,""time"":1656945381567},{""value"":9.3,""time"":1656945441744},{""value"":9.54,""time"":1656945554102},{""value"":9.02,""time"":1656945614472}]",PowerCurrent
